code,product_name,brands,categories,nova_group,nutriscore_grade,url
4901960000016,Amul Pasteurised Butter,Amul,"Dairies,Butters",4,unknown,http://world-en.openfoodfacts.org/product/4901960000016/amul-pasteurised-butter
8901262220965,Amul Pizza Margherita,Amul,"Meals,Pizzas pies and quiches,Pizzas,Vegetarian pizzas,Cheese pizzas",4,d,http://world-en.openfoodfacts.org/product/8901262220965/amul-pizza-margherita
8901262130325,Amul Pro Chocolate 500g pp,Amul,"Beverages, Sweetened beverages",4,e,http://world-en.openfoodfacts.org/product/8901262130325/amul-pro-chocolate-500g-pp
8901262152556,Amul Saffron Doodh,Amul,"Beverages and beverages preparations,Beverages,Dairies,Dairy drinks",3,unknown,http://world-en.openfoodfacts.org/product/8901262152556/amul-saffron-doodh
8901262201001,Amul Spiced Buttermilk,Amul,"Dairies,Fermented foods,Fermented milk products,Milks,Buttermilks",4,unknown,http://world-en.openfoodfacts.org/product/8901262201001/amul-spiced-buttermilk
8901262201896,Amul Stirred Fruit Yogurt Strawberry,Amul,Fruit yogurts with fruit chunks,4,c,http://world-en.openfoodfacts.org/product/8901262201896/amul-stirred-fruit-yogurt-strawberry
8901262071048,Amul Sugar free chocolate,Amul,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Sugar free chocolate, en:chocolate-candies",4,d,http://world-en.openfoodfacts.org/product/8901262071048/amul-sugar-free-chocolate
8901262150088,Amul Taaza 200ml,Amul,"Dairies,Milks,Whole milks",1,c,http://world-en.openfoodfacts.org/product/8901262150088/amul-taaza-200ml
8901262150217,Amul Taaza milk 500ml,Amul,"Dairies, Milks, Toned milk, en:whole-milks",1,c,http://world-en.openfoodfacts.org/product/8901262150217/amul-taaza-milk-500ml
8901262174244,Amul Vanilla Gold,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, en:ice-cream-tubs",4,d,http://world-en.openfoodfacts.org/product/8901262174244/amul-vanilla-gold
8901262010436,Amul White Unsalted Butter,Amul,Butter,2,unknown,http://world-en.openfoodfacts.org/product/8901262010436/amul-white-unsalted-butter
8901262030601,Amul cow ghee,Amul,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters",2,unknown,http://world-en.openfoodfacts.org/product/8901262030601/amul-cow-ghee
