code,product_name,brands,categories,nova_group,nutriscore_grade,url
8901260000000,Chocozoo,Amul,sweet snacks,4,e,http://world-en.openfoodfacts.org/product/8901262071581/chocozoo-amul
8901260000000,Cookie Sub,Amul,Ice cream sandwiches,4,d,http://world-en.openfoodfacts.org/product/8901262178440/cookie-sub-amul
8901260000000,Dark Chocolate,Amul,"Snacks,Sweet snacks,Cocoa and its products,Bars,Chocolates,Dark chocolates",4,e,http://world-en.openfoodfacts.org/product/8901262070676/dark-chocolate-amul
8901260000000,Double Chocolate Milk Shake,Amul,Milk-based drinks,4,e,http://world-en.openfoodfacts.org/product/8901262152143/double-chocolate-milk-shake-amul
8901260000000,Epic Choco Almond with Beligian Chocolate,Amul,Chocolate ice cream bars,4,e,http://world-en.openfoodfacts.org/product/8901262178198/epic-choco-almond-with-beligian-chocolate-amul
8901260000000,FRUIT N' NUT Dark Chocolate,Amul,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolates, Dark chocolates, Dark chocolate bar with dried fruits, Composite chocolate",4,e,http://world-en.openfoodfacts.org/product/8901262070539/fruit-n-nut-dark-chocolate-amul
8901260000000,Garlic & Herbs Buttery Spread,Amul,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Butter fat",4,e,http://world-en.openfoodfacts.org/product/8901262010344/garlic-herbs-buttery-spread-amul
8901260000000,Ice Cream Sandwich Vanilla,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream sandwiches",4,e,http://world-en.openfoodfacts.org/product/8901262178259/ice-cream-sandwich-vanilla-amul
8901260000000,Ice Malai,Amul,"Desserts,Ice cream in individual cup,Frozen desserts",4,c,http://world-en.openfoodfacts.org/product/8901262301695/ice-malai-amul
8901260000000,Lassi Pineapple,Amul,"Dairy drinks,Lassi",4,e,http://world-en.openfoodfacts.org/product/8901262152631/lassi-pineapple-amul
8901260000000,Lite Bread Spread,Amul,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Salted spreads, Spreadable fats, Vegetable fats, Margarines",4,d,http://world-en.openfoodfacts.org/product/8901262140065/lite-bread-spread-amul
8901260000000,Mawa Malai Kulfi,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream bars",4,d,http://world-en.openfoodfacts.org/product/8901262176477/mawa-malai-kulfi-amul
8901260000000,Milk Shake Double Chocolate,Amul,"Beverages, Dairies, Dairy drinks, Flavoured milks, Chocolate milks",4,e,http://world-en.openfoodfacts.org/product/8901262152136/milk-shake-double-chocolate-amul
8901260000000,Peanut Butter,Amul,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Plant-based spreads,Oilseed purees,Legume butters,Peanut butters",4,c,http://world-en.openfoodfacts.org/product/8901262010511/peanut-butter-amul
8901260000000,Pista malai kulfi,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Icecream",4,e,http://world-en.openfoodfacts.org/product/8901262176446/pista-malai-kulfi-amul
8901260000000,Protein Buttermilk,Amul,"Beverages, Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Fermented milk drinks, Yogurts, Drinkable yogurts",4,b,http://world-en.openfoodfacts.org/product/8901262152952/protein-buttermilk-amul
8901260000000,Protein Kulfi,Amul,Kulfi,4,a,http://world-en.openfoodfacts.org/product/8901262301862/protein-kulfi-amul
8901260000000,Protein Lassi - Mango flavour,Amul,"Beverages, Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Fermented milk drinks, Yogurts, Drinkable yogurts",4,c,http://world-en.openfoodfacts.org/product/8901262152945/protein-lassi-mango-flavour-amul
8906090000000,Protein Water,Amul,beverages,4,b,http://world-en.openfoodfacts.org/product/8906090641067/protein-water-amul
8901260000000,Punjabi Kulfi Mawa Elaichi,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream bars",4,unknown,http://world-en.openfoodfacts.org/product/8901262176552/punjabi-kulfi-mawa-elaichi-amul
8901260000000,Sugar free dark chocolate,Amul,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Chocolates with sweeteners,Dark chocolates,Dark chocolates with sweeteners,Dark chocolate bar without sugar and with artificial sweeteners",4,d,http://world-en.openfoodfacts.org/product/8901262070324/sugar-free-dark-chocolate-amul
8901260000000,Sundae Gudbud,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams",4,d,http://world-en.openfoodfacts.org/product/8901262174404/sundae-gudbud-amul
8901260000000,Super Fruit,Amul,White chocolate bar with dried fruits,4,e,http://world-en.openfoodfacts.org/product/8901262071109/super-fruit-amul
8901260000000,Twilight Tryst Single Origin Dark Chocolate,Amul,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar",4,e,http://world-en.openfoodfacts.org/product/8901262071703/twilight-tryst-single-origin-dark-chocolate-amul
8901260000000,Vanilla ice cream,Amul,Ice cream in a box,4,d,http://world-en.openfoodfacts.org/product/8901262173490/vanilla-ice-cream-amul
8901060000000,,Britannia,en:biscuits,4,d,http://world-en.openfoodfacts.org/product/8901063014411/britannia
8901060000000,,Britannia,en:biscuits,4,c,http://world-en.openfoodfacts.org/product/8901063142664/britannia
8901060000000,100% Whole Wheat Sandwich Bread,Britannia,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Wholemeal breads, Wholemeal sliced breads",4,unknown,http://world-en.openfoodfacts.org/product/8901063342934/100-whole-wheat-sandwich-bread-britannia
8901060000000,50 50,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063016880/50-50-britannia
8901060000000,50 50 Gol Maal,Britannia,"Snacks,Sweet snacks,Confectioneries,Bars,Biscuits and cakes,Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063017702/50-50-gol-maal-britannia
8901060000000,50 50 Golmaal,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063017719/50-50-golmaal-britannia
8901060000000,50-50,Britannia,Biscuits,4,unknown,http://world-en.openfoodfacts.org/product/8901063016873/50-50-britannia
8901060000000,50-50,Britannia,,4,unknown,http://world-en.openfoodfacts.org/product/8901063017252/50-50-britannia
8901060000000,50-50 Maska Chaska,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063017481/50-50-maska-chaska-britannia
8901060000000,50-50 sweet and salt,Britannia,,4,unknown,http://world-en.openfoodfacts.org/product/8901063016606/50-50-sweet-and-salt-britannia
8901060000000,5050 Golmaal,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063017795/5050-golmaal-britannia
8901060000000,B. waffy choco,Britannia,,4,unknown,http://world-en.openfoodfacts.org/product/8901063032675/b-waffy-choco-britannia
8901060000000,BOURBON,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, en:chocolate-biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063139374/bourbon-britannia
8901060000000,BRITANN Good day 600 g,Britannia,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits,Dry biscuits,Breakfast biscuit",4,e,http://world-en.openfoodfacts.org/product/8901063092501/britann-good-day-600-g-britannia
8901060000000,BRITANNIA Cake Gobbles Fruity Fun,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Cakes",4,e,http://world-en.openfoodfacts.org/product/8901063363977/britannia-cake-gobbles-fruity-fun
8901060000000,"BRITANNIA nutri SUGAR, FREE",Britannia,"Biscuits,Biscuits/Cookies (Shelf Stable),sugar free biscuit",4,d,http://world-en.openfoodfacts.org/product/8901063026162/britannia-nutri-sugar-free
8901060000000,Biscafe Biscuit 🍪,Britannia,da:crackers,4,e,http://world-en.openfoodfacts.org/product/8901063365018/biscafe-biscuit-%F0%9F%8D%AA-britannia
8901060000000,Bourbon,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063139206/bourbon-britannia
8901060000000,Brit 100% veg cake,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Cakes",4,e,http://world-en.openfoodfacts.org/product/8901063365087/brit-100-veg-cake-britannia
8901060000000,Brit 50-50 maska chaska 40g (20),Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,d,http://world-en.openfoodfacts.org/product/8901063017627/brit-50-50-maska-chaska-40g-20-britannia
8901060000000,Brit bourbon 150g (sys),Britannia,en:biscuits,4,e,http://world-en.openfoodfacts.org/product/8901063139213/brit-bourbon-150g-sys-britannia
8901060000000,Britannia 5050 Potazos 71.5g,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,unknown,http://world-en.openfoodfacts.org/product/8901063017559/britannia-5050-potazos-71-5g
8901060000000,Britannia 5050(72g),Britannia,,4,unknown,http://world-en.openfoodfacts.org/product/8901063016781/britannia-5050-72g
8901060000000,Britannia Cake Gobbles 35g,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Cakes",4,e,http://world-en.openfoodfacts.org/product/8901063365384/britannia-cake-gobbles-35g
8901060000000,Britannia Good day Chocolate Cookies 400g,Britannia,Chocolate biscuity bars,4,e,http://world-en.openfoodfacts.org/product/8901063004139/britannia-good-day-chocolate-cookies-400g
8901060000000,Britannia Marie Gold,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Dry biscuits,Plain biscuit",4,d,http://world-en.openfoodfacts.org/product/8901063162242/britannia-marie-gold
8901060000000,Britannia Marie Gold,Britannia,Biscuits,4,e,http://world-en.openfoodfacts.org/product/8901063162648/britannia-marie-gold
8901060000000,Britannia Nutri Choice Oats,Britannia,Biscuits,4,d,http://world-en.openfoodfacts.org/product/8901063142114/britannia-nutri-choice-oats
8901060000000,Britannia Pav,Britannia,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",4,d,http://world-en.openfoodfacts.org/product/8901063338494/britannia-pav
8901060000000,Britannia Treat Strawberry flavoured Waffers,Britannia,,4,unknown,http://world-en.openfoodfacts.org/product/8901063032699/britannia-treat-strawberry-flavoured-waffers
8901060000000,Britannia Winkin cow thick lassi 180ml,Britannia,"Dairies,beverages",4,e,http://world-en.openfoodfacts.org/product/8901063146297/britannia-winkin-cow-thick-lassi-180ml
8901060000000,Britannia bourbon 100g,Britannia,"Snacks, en:biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063139336/britannia-bourbon-100g
8901060000000,Britannia cake fruity fun,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Cakes, en:biscuits",4,d,http://world-en.openfoodfacts.org/product/8901063363779/britannia-cake-fruity-fun
8901060000000,Britannia nutri choice,Britannia,,4,unknown,http://world-en.openfoodfacts.org/product/8901063028708/britannia-nutri-choice
8901060000000,Britannia toastea,Britannia,Bakery products,4,d,http://world-en.openfoodfacts.org/product/8901063325463/britannia-toastea
