code,product_name,brands,energy-kcal_100g,carbohydrates_100g,sugars_100g,proteins_100g,fat_100g,saturated-fat_100g,salt_100g,nova_group,nutriscore_grade,url
0944607300005,Paneer,Milky Mist,283.0,5.1,0.0,16.1,22.0,12.0,0.3125,3,c,http://world-en.openfoodfacts.org/product/0944607300005/paneer-milky-mist
8904083300021,Paneer,Milky Mist,283.0,5.1,5.1,16.1,22.0,12.0,0.3125,3,c,http://world-en.openfoodfacts.org/product/8904083300021/paneer-milky-mist
8904083301455,Toned Milk,Milky Mist,59.0,5.0,5.0,3.0,3.0,1.9,0.117,1,c,http://world-en.openfoodfacts.org/product/8904083301455/toned-milk-milky-mist
8904083305071,Pro Biotic Curd,Milky Mist,61.8,5.2,5.2,3.5,3.0,1.9,0.113,3,b,http://world-en.openfoodfacts.org/product/8904083305071/pro-biotic-curd-milky-mist
8904083310037,Garlic Cheese Spread,Milky mist,287.0,4.0,0.0,11.6,25.0,16.0,3.565,4,e,http://world-en.openfoodfacts.org/product/8904083310037/garlic-cheese-spread-milky-mist
