code,product_name,brands,energy-kcal_100g,carbohydrates_100g,sugars_100g,proteins_100g,fat_100g,saturated-fat_100g,salt_100g,nova_group,nutriscore_grade,url
8901262071581,Chocozoo,Amul,526.0,61.1,56.6,5.33,29.3,28.3,15.0,4,e,http://world-en.openfoodfacts.org/product/8901262071581/chocozoo-amul
8901262150217,Amul Taaza milk 500ml,Amul,58.2,4.8,4.8,3.0,3.0,2.0,0.0925,1,c,http://world-en.openfoodfacts.org/product/8901262150217/amul-taaza-milk-500ml
8901262151726,Amul Lactose Free250ml,Amul,59.2,4.8,4.8,3.0,3.12,2.0,105.0,3,e,http://world-en.openfoodfacts.org/product/8901262151726/amul-lactose-free250ml
8901262176224,Amul Chocobar Probiotic,Amul,138.0,9.7,9.2,1.6,10.4,7.7,0.05,4,c,http://world-en.openfoodfacts.org/product/8901262176224/amul-chocobar-probiotic
8901262200189,Amul Lassi 200ml,Amul,88.5,14.5,14.5,2.1,2.1,1.25,0.075,4,e,http://world-en.openfoodfacts.org/product/8901262200189/amul-lassi-200ml
