code,product_name,brands,energy-kcal_100g,carbohydrates_100g,sugars_100g,proteins_100g,fat_100g,saturated-fat_100g,salt_100g,nova_group,nutriscore_grade,url
8901262174244,Amul Vanilla Gold,Amul,216,20.9,20.9,3.7,13,7.8,0.13,4,d,http://world-en.openfoodfacts.org/product/8901262174244/amul-vanilla-gold
8901262173490,Vanilla ice cream,Amul,215,20.8,20.8,3.7,13,7.8,0.13,4,d,http://world-en.openfoodfacts.org/product/8901262173490/vanilla-ice-cream-amul
8901262202046,Amul Lassi,Amul,142,,22.5,3.9,4,2.4,0.13,4,e,http://world-en.openfoodfacts.org/product/8901262202046/amul-lassi
8901262152952,Protein Buttermilk,Amul,54,4,4,7.5,0.5,0.3,0.125,4,b,http://world-en.openfoodfacts.org/product/8901262152952/protein-buttermilk-amul
8901262300612,Tender Coconut,Amul,237,25.7,25.4,3.88,13.3,7.16,0.119,4,d,http://world-en.openfoodfacts.org/product/8901262300612/tender-coconut-amul
8901262172448,Amul Chocolate Brownie,Amul,232,26.3,22.3,4.4,12.5,7.6,0.115,4,d,http://world-en.openfoodfacts.org/product/8901262172448/amul-chocolate-brownie
8901262173223,Butterscotch Bliss,Amul,251,26,22.6,4.1,14.5,7.3,0.115,4,d,http://world-en.openfoodfacts.org/product/8901262173223/butterscotch-bliss-amul
8901262178365,Black Currant Tri Cone,Amul,240,23.8,16.5,3.3,12.6,8.4,0.1125,4,d,http://world-en.openfoodfacts.org/product/8901262178365/black-currant-tri-cone-amul
8901262178075,Chocolate Magic Sundae,Amul,267,27.3,26.5,3.5,16.2,11.1,0.11,4,e,http://world-en.openfoodfacts.org/product/8901262178075/chocolate-magic-sundae-amul
8901262152341,Amul Kool Premium Kesar Flavour,Amul,91.1,12.5,12.5,3.11,3.17,1.94,0.108,4,e,http://world-en.openfoodfacts.org/product/8901262152341/amul-kool-premium-kesar-flavour
8901262152228,Amul kool elaichi 180ml,Amul,90.6,12.5,12.5,3.11,3.11,1.89,0.108,4,e,http://world-en.openfoodfacts.org/product/8901262152228/amul-kool-elaichi-180ml
8901262152945,Protein Lassi - Mango flavour,Amul,60,12.6,4,6,0.32,0.2,0.0965,4,c,http://world-en.openfoodfacts.org/product/8901262152945/protein-lassi-mango-flavour-amul
8901262070324,Sugar free dark chocolate,Amul,558,56.7,0.5,6,33.8,20.7,0.095,4,d,http://world-en.openfoodfacts.org/product/8901262070324/sugar-free-dark-chocolate-amul
8901262071048,Amul Sugar free chocolate,Amul,558,56.7,0.5,6,33.8,20.7,0.095,4,d,http://world-en.openfoodfacts.org/product/8901262071048/amul-sugar-free-chocolate
8901262070676,Dark Chocolate,Amul,520,51.5,43,6.41,33.1,18.5,0.095,4,e,http://world-en.openfoodfacts.org/product/8901262070676/dark-chocolate-amul
8901262174404,Sundae Gudbud,Amul,183,22.8,20.6,3.1,9.4,5.3,0.095,4,d,http://world-en.openfoodfacts.org/product/8901262174404/sundae-gudbud-amul
8901262152136,Milk Shake Double Chocolate,Amul,115,15.2,14.6,3.1,5,2.8,0.0925,4,e,http://world-en.openfoodfacts.org/product/8901262152136/milk-shake-double-chocolate-amul
8901262152143,Double Chocolate Milk Shake,Amul,115,15.2,14.6,3.11,5,2.78,0.0925,4,e,http://world-en.openfoodfacts.org/product/8901262152143/double-chocolate-milk-shake-amul
8901262178198,Epic Choco Almond with Beligian Chocolate,Amul,373,26.2,23.5,4.18,28.5,18.4,0.0864,4,e,http://world-en.openfoodfacts.org/product/8901262178198/epic-choco-almond-with-beligian-chocolate-amul
8901262070539,FRUIT N' NUT Dark Chocolate,Amul,499,46.7,38.3,7.2,32.5,16.2,0.0825,4,e,http://world-en.openfoodfacts.org/product/8901262070539/fruit-n-nut-dark-chocolate-amul
8901262176477,Mawa Malai Kulfi,Amul,162,12.3,12,2.3,11.8,7.8,0.075,4,d,http://world-en.openfoodfacts.org/product/8901262176477/mawa-malai-kulfi-amul
8901262200189,Amul Lassi 200ml,Amul,88.5,14.5,14.5,2.1,2.1,1.25,0.075,4,e,http://world-en.openfoodfacts.org/product/8901262200189/amul-lassi-200ml
8901262301862,Protein Kulfi,Amul,95,15,3,16.7,1,0.667,0.075,4,a,http://world-en.openfoodfacts.org/product/8901262301862/protein-kulfi-amul
8901262151696,Amul Lassi 250 ml,Amul,87,14,14,2,2,1.2,0.065,4,e,http://world-en.openfoodfacts.org/product/8901262151696/amul-lassi-250-ml
8901262071703,Twilight Tryst Single Origin Dark Chocolate,Amul,554,55.8,44.2,6.2,34,20.8,0.0125,4,e,http://world-en.openfoodfacts.org/product/8901262071703/twilight-tryst-single-origin-dark-chocolate-amul
8901262010320,Amul,Amul,724,0,0,1,80,48,0,4,e,http://world-en.openfoodfacts.org/product/8901262010320/amul
8901262176446,Pista malai kulfi,Amul,385,29.5,22.5,4.7,27.7,13.5,0,4,e,http://world-en.openfoodfacts.org/product/8901262176446/pista-malai-kulfi-amul
8901262178068,Choco Almond N' Kesar Badam Double Sundae,Amul,248,29.3,23.2,4,12.8,6.9,0,4,d,http://world-en.openfoodfacts.org/product/8901262178068/choco-almond-n-kesar-badam-double-sundae-amul
8901262070058,Amul Fruit 'N&quot; Nut,Amul,,,,,,,,4,d,http://world-en.openfoodfacts.org/product/8901262070058/amul-fruit-n-nut
