barcode,product name,quantity_gms,packaging,brands,ingredients,energy-kcal,fat_value_gms,saturated-fat_value_gms,carbohydrates_value_gms,sugars_value_gms,fiber_value_gms,proteins_value_gms,salt_value_mg,sodium_value_mg,added-sugars_value_gms,nova_groups,nutriscore_grade,OFF_url
8901063342026,Vitarich Sandwich Premium White Bread,400g,Plastic,Britannia,"REFINED WHEAT FLOUR (MAIDA), WATER, SUGAR, VITAL GLUTEN, YEAST, IODISED SALT, REFINED PALMOLEIN OIL, SOYA FLOUR, PRESERVATIVE (282), EMULSIFIERS [471, 481() & 472e], DOUGH CONDITIONERS [516, 1700)], ACIDITY REGULATOR (260), STABILIZER (412), VITAMINS, FLOUR TREATMENT AGENT (510), IMPROVERS [1100(1), 1104, 1102 & XYLANASE] AND ANTIOXIDANT (300)",252,1.5,0.5,51.2,3,,8.2,1090,436,3,4,b,https://in.openfoodfacts.org/product/8901063342026
8904043553054,Milk Plus Bread,450,Plastic,Modern,"Refined Wheat Flour (Maida). Sugar, Milk Solids (34%), Yeast, lodized Salt. Edible Vegetable Fat (Interestenfied), Gluten, Soya Flour,preservatives (282, 200), Flour Treatment Agents (341(iIi)) 510, 1100 1100(i)), Stabilizer (170(0)), Emulsifier (481(i)) Acidity Regulator (260) and Antioxidant (300). (Numbers referred above are as per International Numbering System) Contains Wheat, Milk and Soya.",272,2.05,1.4,56,,,7.4,,,12.4,4,unknown,https://in.openfoodfacts.org/product/8904043553054
8908014814021,premium brown bread,400,,Mr Bakewell,"Refined Wheat Flour (Maida), Whole Wheat Flour (Atta), Water, Sugar, Edible Vegetable Oil (Palm Oil), Yeast, lodized Salt, Soya Flour, Gluten, Caramel 150 a, Roasted Malt Flour, Calcium Propionate (INS282), Bread Improver (INS 170(i), 1100(0)), Antioxidant (INS 300) ALLERGEN INFORMATION: Product contains, Gluten & Soya.",288.8,3.1,2.3,55.26,6.75,3.5,3.2,,,5.75,4,unknown,https://in.openfoodfacts.org/product/8908014814021
8906001387114,Multi Grain High Fibre Bread,400,,English Oven,"REFINED WHEAT FLOUR (MAIDA), WATER, MULTIGRAIN MIX (20% - OAT FLAKES, SUNFLOWER, LINSEED, SESAME SEED, SOYA GRIT, MELON SEEDS), YEAST, SUGAR, EDIBLE VEGETABLE OILS (PALM), WHEAT GLUTEN, EDIBLE COMMON SALT, MALT FLOUR, BROKEN WHEAT, SOYA FLOUR, CLASS II PRESERVATIVE (282), ACIDITY REGULATOR (260), EMULSIFIERS [471,472e, 481 (0)1, IMPROVERS [1700), 510, 923, 1100] AND ANTIOXIDANT (300). (NUMBERS IN BRACKETS ARE AS PER INTERNATIONAL NUMBERING SYSTEM) ALLERGEN DECLARATION: PRODUCT CONTAINS WHEAT FLOUR (GLUTEN), SEEDS, OATS, SOYA FLOUR AS ALLERGENS.",262,1.35,0.27,53.4,3.14,2.76,8.97,,,,4,unknown,https://in.openfoodfacts.org/product/8906001387114
8904043551494,Fruity,200,,Modern,"Refined Wheat Flour (Maida), Glazed Fruit (17%) (Papaya), Sugar, Acidity Regulator (330), modern Preservative (211), CONTAINS PERMITTED SYNTHETIC FOOD COLOURS (102), (110), (129)), Sugar, Edible Vegetable Fat Onteresterified), Yeast, Gluten, lodized Salt, Soya Flour, Preservative (282), Emulsifier (481 (0), Flour Treatment Agents (510, 1100 001, Acidity Regulator (260) Antioxidant (300), Spices and Condiments. CONTAINS ADDED FLAVOUR MATURE-IDENTICAL FLAVOURING CES (VANILLA)",285,3.6,2.3,57,10.2,0,6.8,767.5,307,,4,c,https://in.openfoodfacts.org/product/8904043551494
8908014814014,Premium Fruit Bread,400,,Mr Bakewell,"Refined Wheat Flour (Maida), Glazed Fruit Sugar, Edible Vegetable Fat, Yeast, Gluten, lodized Salt, Soya Flour,Milk Solids, Class II Preservative (INS 282), Improver (INS 1100 (1), 170(i)), Emulsifier (INS 481 (0)) and Antioxidant (INS 300), Spices & Condiments",285,3.6,2.3,57,10.2,,6.8,,,,4,unknown,https://in.openfoodfacts.org/product/8908014814014
8908002105087,Milk White Bread,400,,Bakes Fresh,"Refined Wheat Flour, Milk Powder, Fresh Yeast, Sugar, Salt (lodised), Gluten, Class II preservative (282), Emulsifier (471 e), Improver (1100); Anti oxidants (300), Acidity Regulator (INS260), Edible Vegetable Oil (Palm Oil)",297,5.4,3.2,52.34,5.6,0,9.47,,,,4,unknown,https://in.openfoodfacts.org/product/8908002105087
8904043553085,Wow Pav,200,,Modern,"Refined Wheat Flour (Maida), Sugar, Edible Vegetable Fat (Interesterified), Yeast, lodized Salt, Gluten, Soya Flour, Preservative (282), Emulsifier (471), Acidity Regulator (260), Flour Treatment Agents (510, 1100(i)) and Antioxidant (300)",261,2.98,2.17,48.9,2.8,0,9.5,1105,442,,4,c,https://in.openfoodfacts.org/product/8904043553085
8908014814069,garlic bread,150,,Mr Bakewell,"Refined Wheat Flour (Maida), Sugar, Refined Palm Oil and Palm Olein, Yeast, lodized Salt, Garlic, Gluten, Class Il Preservatives (INS 282), Improver (Emulsifier (INS 472e) Antioxidant (INS 300)], Acidity Regulator (INS 260)",302,3.9,0.95,58,10.1,0.38,8.74,795,318,,4,c,https://in.openfoodfacts.org/product/8908014814069
8908014814120,Hotdog bun,160,,Mr Bakewell,"Refined Wheat Flour (Maida) Water, Sugar, Yeast, Refined Palm Oil, lodized Salt, Flour Improver Emulsifiers, DATEM (INS472e), Calcium Propionate (INS282), Gluten.",314,5.58,2.78,59.25,7.41,1.35,7.4,796.25,318.5,7.41,4,c,https://in.openfoodfacts.org/product/8908014814120
