products__code,products__brands,products__product_name,products__nova_group,products__nutriscore_grade,products__energy-kcal_100g,products__fat_100g,products__saturated-fat_100g,products__salt_100g,products__sugars_100g,products__added-sugars_100g,OFF_url
8901063362871,britannia,cake nut & raisin,4,unknown,410,18,8,,32.5,,https://in.openfoodfacts.org/product/8901063362871
961475015275,"Dark Fantasy,Sunfeast",Choco Fills,4,e,513,26.5,12.9,0.41625,34.4,31.7,https://in.openfoodfacts.org/product/961475015275
8901725000295,Sunfeast,Sunfeast glucose plus+,4,e,440,10.6,5.3,1.053,27.7,27.7,https://in.openfoodfacts.org/product/8901725000295
8906009077543,Unibic,Sugar Free Multigrain Cookies,4,d,463,19.9,11.6,0.625,0.5,,https://in.openfoodfacts.org/product/8906009077543
8901719130151,Parle,Parle hide &seek milano 125g,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719130151
8901719107870,Parle,Choco rolls,4,e,522,26.7,12.6,0.245,37,,https://in.openfoodfacts.org/product/8901719107870
8901063363779,Britannia,Britannia cake fruity fun,4,d,417,17.8,1.5,0.535,27.1,,https://in.openfoodfacts.org/product/8901063363779
8901719125478,Parle,Parle-G gold 75g,4,d,454,13,6,0.74,25.5,,https://in.openfoodfacts.org/product/8901719125478
8901719124143,Parle,ParleG gold 75 g,,e,462,14.6,6.8,0.7025,27.7,,https://in.openfoodfacts.org/product/8901719124143
8901063142428,Britania,Nutri choice Digestive,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063142428
50166480,Mars,Twix,,unknown,,,,,,,https://in.openfoodfacts.org/product/50166480
8901063365216,britannia,biscafe,4,e,485,19,9.3,0,21.5,,https://in.openfoodfacts.org/product/8901063365216
8901063029309,Britannia,Jimjam Pops,4,unknown,500,21.7,12.2,0.49,37.3,,https://in.openfoodfacts.org/product/8901063029309
8901063162549,Britannia,ENIC AND,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063162549
8901063017627,Britannia,Brit 50-50 maska chaska 40g (20),4,d,,,,,,,https://in.openfoodfacts.org/product/8901063017627
8901063142442,Britannia,Nutri Choice Seeds,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063142442
8903363008688,Bisky Bites,Choco Blast Sandwich Biscuits,4,e,469.1,19.5,9.5,1.04675,35.8,34.5,https://in.openfoodfacts.org/product/8903363008688
8901725016296,Sunfeast,"Dark Fantasy Bourbon Biscuits,",4,unknown,479,18,8.8,0.233,36.4,,https://in.openfoodfacts.org/product/8901725016296
8901719122644,Parle,Happy Happy Choco-Chip Cookies,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719122644
8901063164321,Britannia,Tiger Kreemz Orange,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063164321
8906071887781,Lávian Exotique,CrèmeCups,,e,418.47,19.14,9.21,0.3469,31.35,24.63,https://in.openfoodfacts.org/product/8906071887781
4906409077291,Unibic,Unibic Sugar Free Buscits,,unknown,,,,,,,https://in.openfoodfacts.org/product/4906409077291
8901719120800,Parle,Parle-G,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719120800
8901719126970,Parle,Parle 20 20cashew biscuits,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719126970
8906020461307,Harvest Gold,Crem Bites,4,e,454.9,18.5,8.13,727.5,21.08,,https://in.openfoodfacts.org/product/8906020461307
8901063029279,Britannia,Jimjam,4,e,483,19,9.5,0.535,33.5,31.8,https://in.openfoodfacts.org/product/8901063029279
8901725004675,"Sunfeast,Farmlite",Oats and Raisins Cookies,4,d,464,19.5,9.8,0.74525,18.3,17.4,https://in.openfoodfacts.org/product/8901725004675
8906010500016,balaji,POTATO WAFERS,3,unknown,559,35.3,16,,0.4,,https://in.openfoodfacts.org/product/8906010500016
8901725013882,Sunfeast Farmlite,Super Millets Cookies,4,e,496,27.9,15.1,1.17525,21,17.7,https://in.openfoodfacts.org/product/8901725013882
8901063093522,Britannia,Good Day,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063093522
8901063092402,Britannia,good day blue 200g (3),,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063092402
8901063012349,Britannia,Milk Bikis,,unknown,454,14,6,,27,,https://in.openfoodfacts.org/product/8901063012349
8901719123900,Parle,Parle g gold,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719123900
8901063019027,Britannia,Little Hearts Classic,4,e,486,19.5,9.4,0.7775,24.4,,https://in.openfoodfacts.org/product/8901063019027
8901719119385,Parle,Nice,4,e,478,17.9,9.6,0.6075,25.2,24.8,https://in.openfoodfacts.org/product/8901719119385
8906130900130,Orion,Choco-Pie,4,unknown,,,,,,,https://in.openfoodfacts.org/product/8906130900130
8901719112492,Parle,Hide & Seek Black Bourbon,4,e,470,16.3,8.3,0.4325,42.8,42.6,https://in.openfoodfacts.org/product/8901719112492
8901719123085,"Parle Platina, Parle",Black Bourbon,4,e,470,16.3,8.3,0.4325,42.8,42.6,https://in.openfoodfacts.org/product/8901719123085
8906009074788,Unibic,Oats Marie Thinz,4,d,447,12.5,6.3,0.8625,21,,https://in.openfoodfacts.org/product/8906009074788
8901063012516,Britannia,Milk Bikis,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063012516
8901725119423,Sunfeast,Mom's Magic Cashew and Almond,4,unknown,459,22.1,0.06,,22.7,,https://in.openfoodfacts.org/product/8901725119423
8906032019787,Patanjali,Marie biscut,4,d,409,10.5,5.1,0.74,19,,https://in.openfoodfacts.org/product/8906032019787
8901063033399,Britannia,Treat Vanilla Creme,4,e,497.5,21.1,10.2,1.01,38.4,,https://in.openfoodfacts.org/product/8901063033399
8901063162426,Britannia,Marie Gold,4,d,445,10.7,5.2,0.8,21.9,,https://in.openfoodfacts.org/product/8901063162426
5604260227174,Chabrior,Bolacha Manteiga Belgas,,e,478,17.6,11.3,0.6,32.1,,https://in.openfoodfacts.org/product/5604260227174
8901719128547,Parle,Happy Happy Cakes Tutti Frutty Flavoured,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719128547
8901063363809,Britannia,Gobbless Choco Chill Cake,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063363809
8906009993072,Elite,La' Elite Premium Plum Cake,,unknown,310,16,8,,36,,https://in.openfoodfacts.org/product/8906009993072
8908004010556,Karachi bakery,Chand biscuits,,unknown,340,16,7.840000153,,4,,https://in.openfoodfacts.org/product/8908004010556
6001065601083,Cadbury,DAIRY MILK BISCUIT,4,unknown,,,,,,,https://in.openfoodfacts.org/product/6001065601083
8901719116520,Parle,Parle Bode&seek 120g(26),,e,478,17.8,9.2,0,32,,https://in.openfoodfacts.org/product/8901719116520
8906009079288,Unibic,Kesar Cashew Badam Cookies,4,e,487,22.3,10,0.4875,26,,https://in.openfoodfacts.org/product/8906009079288
