code,product_name,brands,quantity_gms,energy-kcal_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,salt_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,nova_group,nutriscore_grade,OFF_url
8906002006410,funfoods peanut butter,Dr. Oetker Funfoods,,,,,,,,,,,3,c,https://in.openfoodfacts.org/product/8906002006410
8908010900070,Pintola all natural peanut butter (crunchy),Pintola,1000,637.5,18.75,3.125,,,50,6.25,31.25,9.375,,unknown,https://in.openfoodfacts.org/product/8908010900070
8905507002729,Peanut butter Crunchy,First Crop,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8905507002729
8906002006083,Funfoods Peanut Butter Crunchy,Dr. Oetker Funfoods,125,636.4,20.3,7.7,,0.864,50.3,10.1,25.6,,3,d,https://in.openfoodfacts.org/product/8906002006083
8901030857973,Kissan peanut butter,Kissan,350,627,20.7,10.7,,0.672,49.3,9.33,25.7,8.67,3,c,https://in.openfoodfacts.org/product/8901030857973
8904327600450,Peanut Butter,MYFITNESS,1250,625,19,10,0,0.875,50,10,26,5,4,c,https://in.openfoodfacts.org/product/8904327600450
8906069401210,Peanut butter,Veeba,925,630.78,18.8,7.89,,0.914775,50.02,3.41,26.35,,4,c,https://in.openfoodfacts.org/product/8906069401210
8906002004447,FUNFOODS PEANUT BUTTER,Dr. Oetker Funfoods,925,641.5,19.3,7.5,,,51,10.4,26.3,,4,unknown,https://in.openfoodfacts.org/product/8906002004447
8904327600399,Myfitness Peanut butter,MYFITNESS,510,625,19,10,7,0.875,50,10,26,5,4,d,https://in.openfoodfacts.org/product/8904327600399
8908010900230,Pintola peanut butter Dark Chocolate,Pintola,1000,580,36.4,19,15,0.0375,40,11,18.6,5.2,4,d,https://in.openfoodfacts.org/product/8908010900230
8904327600382,Myfitness Original Peanut Butter (Smooth),MYFITNESS,510,625,18.8,9.38,6.25,0.875,50,9.38,25,6.25,4,c,https://in.openfoodfacts.org/product/8904327600382
