barcode,product_name,brands,quantity_gms,energy-kcal_100g,carbohydrates_100g,sugars_100g,salt_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,potassium_100g,calcium_100g,nova_group,nutriscore_grade,OFF_URL
8908003080437,Khari Sing,Santosh,,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8908003080437
8904132968813,Roasted & Salted Cashews,Snactac,36,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8904132968813
8906009181172,Star Walnut Kernels,Star,,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8906009181172
8901512939302,Snacko Honey Roasted Peanuts,Sundrop,100,597,23,14.5,0.83525,46.4,8.7,23.8,3.8,,,4,d,https://in.openfoodfacts.org/product/8901512939302
8850291110832,Roasted Sunflower Kernels,Tong garden,200,533,43.3,13.3,0.792,33.3,3.33,20,6.67,0.533,0.05,4,c,https://in.openfoodfacts.org/product/8850291110832
8906112663046,Pumpkin Seeds Roasted,True Elements,,618,27.3,0,0.0095,49.8,10.5,14.9,16.2,,,,d,https://in.openfoodfacts.org/product/8906112663046
8906112661332,Chia Seeds,True Elements,,508,39,0,0.025,31.5,4.8,17.1,34,,,1,a,https://in.openfoodfacts.org/product/8906112661332
710859306108,CASHEWS,Vittal Balaji,500,570,33,7,,46,9,15,5,,,1,unknown,https://in.openfoodfacts.org/product/710859306108
8906055440568,"
Organic Peanuts",Organic Tattva,500,620,17,4,0.012,50,9,25,9,,,1,a,https://in.openfoodfacts.org/product/8906055440568
8906019770755,California Walnut Kernels,Nutraj,250,671,20.21,0,,58.01,5.1,16.94,,,,1,unknown,https://in.openfoodfacts.org/product/8906019770755
