barcode,product_name,brands,quantity_g,ingredients_text,nutriscore_grade,nova_group,energy-kcal_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,vitamin-a_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,OFF_URL
8906014762465,Coconut Oil,Bajaj,600,Coconut Oil,unknown,2,899,100,93.8,5,1.2,,1.1,,,,,,,,,https://in.openfoodfacts.org/product/8906014762465
8906014765961,Almond Drops,Bajaj,114,,not-applicable,,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8906014765961
8906017670514,Shalimar Coconut Oil,Shalimar,,Coconut Oil,unknown,2,855.5,99.5,91.74,,,,,,0,,0,,,,,https://in.openfoodfacts.org/product/8906017670514
8906022620115,rice bran oil,healthy heart,1000,Rice bran oil,unknown,2,884,99.99,27,48,40,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8906022620115
8906023792019,REFINED PALMOLEIN OIL,Gold drop,1000,REFINED PALMOLEIN OIL,unknown,2,900,100,23,,,,,,0,,0,,,,,https://in.openfoodfacts.org/product/8906023792019
8906031311424,Rice bran oil,Lite House,2000,,d,2,900,100,24,42,,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8906031311424
8906032010012,Ruchi gold Oil,Ruchi Gold,893,REFINED PALMOLEIN OIL,d,2,900,100,45.45,42.67,11.87,0,0,0,0,0,0,,,,,https://in.openfoodfacts.org/product/8906032010012
8906032010616,Refined Sunflower Oil,Sunrich,5000,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8906032010616
8906035030017,Refined Palmolein Oil,First Klass,1000,Refined Palmolein oil,d,2,900,100,47,,,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8906035030017
8906035030222,Freedom Refined Sunflower Oil,Freedom,500,"Refined Sunflower Oil: 99.99%, TBHQ (E319): Antioxidant, Vitamin A: Micronutrient, Vitamin D: Micronutrient",d,2,900,99.99,15,,,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8906035030222
8906035030239,Refined Sunflower oil,freedom,5000,"With Vitamins A,D&E Freedom Refined Sunflower Oil Freedom to eat, Freedom to enjoy. 5Litre The image is for reforence only a source from wwhich the oil is etracted",unknown,,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8906035030239
8906035030918,Groundnut Oil,Freedom,1000,Groundnut Oil:100%,d,,900,100,30,,,0,25,1,0,0,0,,,,,https://in.openfoodfacts.org/product/8906035030918
8906047001616,Organic Castor oil,"Phalada,Pure & Sure",500,castor oil,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8906047001616
8906047521558,Disano Olive Oil,Disano,1000,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8906047521558
8906058611286,Gaia Olive Oil Extra Virgin,Gaia,,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8906058611286
8906120070225,Kachhi Ghani Mustard Oil Agmark Grade-I,Shahi Pariwar,1000,"Mustard Oil, Vitamin A, Vitamin D",unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8906120070225
8906126830007,Refined Sunflower Oil,Hello Life,1000,"Refined Sunflower Oil, Permitted Antioxidant TBHQ (E319), Vitamin A, Vitamin D and Antifoaming Agent Dimethyl Polysiloxane DMPS (E-900)",unknown,4,900,100,11,36,65,0,50,0,0,0,0,0.00075,0.00001125,0.324,0.0000054,https://in.openfoodfacts.org/product/8906126830007
8908000258211,Jivo Olive Oil,Jivo,1000,Olive Oil,c,2,900,100,12,,,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8908000258211
8908000440098,Sunflower oil,SVS,,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8908000440098
8908000502024,Sunpure Physically Refined Sunflower Oil,Sunpure,500,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8908000502024
8908000502147,Sunpure Physically Refined Sunflower Oil,Sunpure,15000,"Physically Refined Sunflower oil, Permitted Antioxidant (TBHQ-INS 319), Vitamin A and Vitamin D.",unknown,2,900,100,17,,,,,,0,0,,,,,,https://in.openfoodfacts.org/product/8908000502147
8908001749190,Rice Bran Oil,EnergyMax,1000,"Rice Bran Oil, ADD-03 (Permitted Antioxidant E-319, E-330, Permitted Antifoaming Agent E-900a), Vitamin A & Vitamin D.",d,4,900,100,31,,,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8908001749190
8908002396010,Refined Sunflower Oil,Mr. GOLD,1000,"Refined Sunflower Oil, Anti - Oxidant TBHQ (E-319), Vitamin A, Vitamin D, Vitamin E & Vitamin K",d,2,900,100,12,25.6,62.3,0.3,60,,0,0,0,0.00075,0.00001125,0.273,0.0000055,https://in.openfoodfacts.org/product/8908002396010
8908002396805,Gingelly Oil,Mr. GOLD,1000,Gingelly Oil,d,,900,100,16.86,42.12,40.9,0.25,40.9,0,0,0,0,,,,,https://in.openfoodfacts.org/product/8908002396805
8908003473031,Chekku Groundnut Oil,Ras,1000,Groundnut Oil,d,,899,100,20,41,39,,,0,0,0,0,,,,,https://in.openfoodfacts.org/product/8908003473031
8908004828151,Kachi Ghani Mustard Oil,,1000,"Mustard Oil, Vitamin A & Vitamin D2",unknown,2,900,100,5,61,34,,,0,0,,0,0.00075,0.00001125,,,https://in.openfoodfacts.org/product/8908004828151
8908006849086,Priya Gold Refined Palmolein Oil,Priya Gold,1000,Refined Palmolein Oil,d,2,900,100,43,,,,,,0,,0,,,,,https://in.openfoodfacts.org/product/8908006849086
8908007766030,Train Marka Mustard Oil,Train Marka,,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8908007766030
8908010770024,Gingelly Oil,Swarnam,500,Sesame oil,unknown,2,900,100,13,44,43,,,,,,,,,,,https://in.openfoodfacts.org/product/8908010770024
9909404862027,Kachi Ghani Mustard Oil,Dhara,1000,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/9909404862027
